lead,time_from_QRS_s,high_risk_median_mV,low_risk_median_mV,high_risk_mean_absolute_IG,high_risk_n,low_risk_n
V3,-0.07,-0.024776004254817963,-0.05107587203383446,4.6964356220195525e-05,507,1022
V3,-0.06,-0.024127846583724022,-0.04909524507820606,6.432403467852316e-05,507,1022
V3,-0.05,-0.020279258023947477,-0.04738915339112282,9.052752612047188e-05,507,1022
V3,-0.04,-0.006785460980609059,-0.03926031198352575,0.00013128124238576624,507,1022
V3,-0.03,0.004519676323980093,0.0026523678097873926,0.000186993855862892,507,1022
V3,-0.02,0.044316744431853294,0.1661592647433281,0.0002690779270553766,507,1022
V3,-0.01,-0.07130829244852066,0.3061556816101074,0.0003783053780156368,507,1022
V3,0.0,-0.3347374349832535,0.09379180148243904,0.0004226129247026013,507,1022
V3,0.01,-0.4372713267803192,-0.3650377690792084,0.00031484310317185434,507,1022
V3,0.02,-0.3862529695034027,-0.4730640649795532,0.0002420891036548786,507,1022
V3,0.03,-0.20050214231014252,-0.23926103115081787,0.00015419325579101126,507,1022
V3,0.04,-0.10211528092622757,-0.09398707002401352,9.773172943865789e-05,507,1022
V3,0.05,-0.057748205959796906,-0.044684549793601036,6.13940567552492e-05,507,1022
V3,0.06,-0.03736850619316101,-0.03011178318411112,4.1340966375434936e-05,507,1022
V3,0.07,-0.023495512083172798,-0.01696074940264225,3.161348946051277e-05,507,1022
V3,0.08,-0.015972502529621124,-0.010284109623171389,2.9301242166309086e-05,507,1022
V3,0.09,-0.009576078038662672,-0.0007739268330624327,2.7710043215344596e-05,507,1022
V3,0.1,-0.007493677083402872,0.002922503412264632,2.973112499691183e-05,507,1022
V3,0.11,-0.001024384400807321,0.011491655837744474,3.131914970209542e-05,507,1022
V3,0.12,0.003003039862960577,0.016992611344903708,3.5598549451779316e-05,507,1022
V3,0.13,0.013215821236371994,0.024333066307008266,3.929287475667526e-05,507,1022
V3,0.14,0.02097184769809246,0.03093611216172576,4.793425778449787e-05,507,1022
V3,0.15,0.027966363355517387,0.04215901158750057,5.7305834940447396e-05,507,1022
V3,0.16,0.0393444299697876,0.05051884800195694,6.603263043255662e-05,507,1022
V3,0.17,0.04584602639079094,0.0635741101577878,7.661643611558638e-05,507,1022
V3,0.18,0.058497488498687744,0.07442914880812168,8.974126771968035e-05,507,1022
V3,0.19,0.07316271215677261,0.09485977329313755,0.00010493152027997469,507,1022
V3,0.2,0.07950267195701599,0.10830303840339184,0.00011545816967276235,507,1022
