lead,time_from_QRS_s,high_pointwise_2.5pct,high_pointwise_97.5pct,low_pointwise_2.5pct,low_pointwise_97.5pct,difference_pointwise_2.5pct,difference_pointwise_97.5pct,IG_pointwise_2.5pct,IG_pointwise_97.5pct
V1,0.22,0.0007099354967067484,0.018474833125947044,0.0008143656585161808,0.013106527738273144,-0.007873522632871754,0.010862085140979616,7.536473857867225e-05,9.23312435523358e-05
V1,0.23,-0.0037893471831921487,0.012852025107713409,-0.007668477154220454,0.00467447302798972,-0.004207227064034669,0.014620384367299262,7.592633779431901e-05,9.508379681375754e-05
V1,0.24,-0.005697923054685816,0.010220985926571283,-0.014248746447265148,-0.0023697110220382536,0.0008629090607428227,0.021730702498462047,7.610029174337517e-05,9.390528749540776e-05
V1,0.25,-0.010681044253578876,0.006956386347883374,-0.018654289096593855,-0.006649928010301666,0.0005595160968368874,0.021713422431639606,7.221801972139875e-05,9.000957990081206e-05
V1,0.26,-0.008976729719142896,0.003631901709013611,-0.019850563257932663,-0.011370149470167236,0.0051942454578238545,0.020668485653004606,7.127267475068747e-05,8.795363219807447e-05
V1,0.27,-0.011123905121348799,0.0021714679052820328,-0.019246139191091062,-0.01023384138243273,0.0022583805257454515,0.018594774694793155,6.771819642166308e-05,8.401132981854679e-05
V1,0.28,-0.011943623030674644,-0.0011578071724216,-0.01880011901957914,-0.008916475810110569,0.00046805688180029403,0.01480010349368967,6.591370711017391e-05,7.969178076556385e-05
V1,0.29,-0.010668877920033992,-0.0023177616152679627,-0.01606823697220534,-0.007837565970839932,-0.0009928400453645735,0.011427954920509362,6.035829169105698e-05,7.312800687312243e-05
V1,0.3,-0.010275763692334294,-0.0024513406460755518,-0.011441745306365192,-0.004611664917320013,-0.0037833251844858746,0.0074508681442239265,5.894696663738338e-05,7.430576381817698e-05
V1,0.31,-0.008872446976420178,-0.002211080485722056,-0.007674445176962763,-0.0026631976768840154,-0.004772249707457377,0.0033124075591331337,5.6267617172275405e-05,7.067080881367948e-05
V1,0.32,-0.009161049349495442,-0.0014407121692784134,-0.004256077409809223,-0.0005927988979237854,-0.00697528107348262,0.0013813209749059675,5.4370530283041344e-05,6.469048002262783e-05
V1,0.33,-0.00794005929492414,-0.00019266587332822382,-0.001845722901634872,0.000759487401228397,-0.007436221081967176,0.0008656492827867623,5.3240447629671745e-05,6.394798711962366e-05
V1,0.34,-0.006618486728984863,0.0005018806383304752,-0.00023271567624760792,0.0016375347775465338,-0.007385529666498769,3.4021257306440855e-06,5.362647562693787e-05,6.523368585861532e-05
V1,0.35,-0.005729409705963917,0.00029248866867419385,0.0010265353354043329,0.003842260241799522,-0.008319986156129744,-0.0018602725776872867,5.3430958570513094e-05,6.73634058202881e-05
V1,0.36,-0.004052703712659422,0.0025878858388750756,0.0020659060683101416,0.005530477171123492,-0.008058746358801726,-0.001336239010561258,5.2120521290378074e-05,6.622704681739988e-05
V1,0.37,-0.0035351655751583166,0.002804887963634428,0.004048599473026116,0.006627551122801377,-0.009373196098022164,-0.0021622258151182926,5.084106141310669e-05,6.469289183975428e-05
V1,0.38,-0.002793154786922969,0.003210503149603027,0.005057898029917851,0.007688310340745374,-0.009871369048778434,-0.0027979850372503302,5.306968906788599e-05,6.591207866818618e-05
V1,0.39,-0.0029637040075613185,0.0019828646647511005,0.005228157806413947,0.008683739677871925,-0.010465164622110024,-0.004583126341458411,5.2501101872955016e-05,6.566201107048636e-05
V1,0.4,-0.001992415151835303,0.00343886436894536,0.005428433645283804,0.00830129410023801,-0.008767303785134573,-0.00260976329445839,5.6060083497105153e-05,7.144964888765559e-05
V1,0.41,-0.002265361076570116,0.00410176828736439,0.006183237594086677,0.009380063507705927,-0.010158015058914316,-0.0030859405873343354,5.6764589139256504e-05,7.081757791153751e-05
